filename,flag
centered_2017106N36310_201710612.png,0
centered_2017106N36310_201710615.png,0
centered_2017106N36310_201710618.png,0
centered_2017106N36310_201710621.png,0
centered_2017106N36310_20171066.png,0
centered_2017106N36310_20171069.png,0
centered_2017106N36310_20171070.png,0
centered_2017106N36310_201710712.png,0
centered_2017106N36310_201710715.png,0
centered_2017106N36310_201710718.png,0
centered_2017106N36310_20171073.png,0
centered_2017106N36310_20171076.png,0
centered_2017106N36310_20171079.png,0
centered_2017106N36310_20171080.png,0
centered_2017106N36310_201710812.png,0
centered_2017106N36310_201710815.png,0
centered_2017106N36310_201710818.png,0
centered_2017106N36310_201710821.png,0
centered_2017106N36310_20171083.png,0
centered_2017106N36310_20171086.png,0
centered_2017106N36310_20171089.png,0
centered_2017106N36310_20171090.png,0
centered_2017106N36310_201710912.png,0
centered_2017106N36310_201710915.png,0
centered_2017106N36310_201710918.png,0
centered_2017106N36310_201710921.png,0
centered_2017106N36310_20171093.png,0
centered_2017106N36310_20171096.png,0
centered_2017106N36310_20171099.png,0
centered_2017106N36310_20171100.png,0
centered_2017106N36310_201711012.png,0
centered_2017106N36310_201711015.png,0
centered_2017106N36310_201711018.png,0
centered_2017106N36310_201711021.png,0
centered_2017106N36310_20171103.png,0
centered_2017106N36310_20171106.png,0
centered_2017106N36310_20171109.png,0
centered_2017106N36310_20171110.png,0
centered_2017106N36310_20171113.png,0
centered_2017106N36310_20171116.png,0
centered_2017106N36310_20171119.png,0
centered_2017130N09269_201712918.png,0
centered_2017130N09269_201712921.png,0
centered_2017130N09269_20171300.png,0
centered_2017130N09269_201713012.png,0
centered_2017130N09269_201713015.png,0
centered_2017130N09269_201713018.png,0
centered_2017130N09269_201713021.png,0
centered_2017130N09269_20171303.png,0
centered_2017130N09269_20171306.png,0
centered_2017130N09269_20171309.png,0
centered_2017130N09269_20171310.png,0
centered_2017130N09269_201713112.png,0
centered_2017130N09269_201713115.png,0
centered_2017130N09269_201713118.png,0
centered_2017130N09269_201713121.png,0
centered_2017130N09269_20171313.png,0
centered_2017130N09269_20171316.png,0
centered_2017130N09269_20171319.png,0
centered_2017130N09269_20171320.png,0
centered_2017130N09269_20171323.png,0
centered_2017130N09269_20171326.png,0
centered_2017152N14262_201715112.png,0
centered_2017152N14262_201715115.png,0
centered_2017152N14262_201715118.png,0
centered_2017152N14262_201715121.png,0
centered_2017152N14262_20171520.png,0
centered_2017152N14262_201715212.png,0
centered_2017152N14262_201715215.png,0
centered_2017152N14262_201715218.png,0
centered_2017152N14262_201715221.png,0
centered_2017152N14262_20171523.png,0
centered_2017152N14262_20171526.png,0
centered_2017152N14262_20171529.png,0
centered_2017152N14262_20171530.png,0
centered_2017152N14262_20171533.png,0
centered_2017152N14262_20171536.png,0
centered_2017163N14265_201716212.png,0
centered_2017163N14265_201716215.png,0
centered_2017163N14265_201716218.png,0
centered_2017163N14265_201716221.png,0
centered_2017163N14265_20171630.png,0
centered_2017163N14265_201716312.png,0
centered_2017163N14265_201716315.png,0
centered_2017163N14265_201716318.png,0
centered_2017163N14265_20171633.png,0
centered_2017163N14265_20171636.png,0
centered_2017163N14265_20171639.png,0
centered_2017170N08310_201716918.png,0
centered_2017170N08310_201716921.png,0
centered_2017170N08310_20171700.png,0
centered_2017170N08310_201717012.png,0
centered_2017170N08310_201717015.png,0
centered_2017170N08310_201717018.png,0
centered_2017170N08310_201717021.png,0
centered_2017170N08310_20171703.png,0
centered_2017170N08310_20171706.png,0
centered_2017170N08310_20171709.png,0
centered_2017170N08310_20171710.png,0
